Vertical,Acquisition strength,Sustained loyalty,Platform engagement depth
Gaming,5.7,5.9,9.9
Retail/ Shopping/ Ecommerce,7.9,7.1,6.3
Media/ Streaming,8.6,8.1,8.3
Education,7.4,6.4,6.7
Health & Fitness,5.6,5.4,8.6
News,6,7.7,2.3
FinTech,9.2,8.3,8.1
Traditional Finance,9.9,10,4.8
On-Demand,8,6.7,8.4
Travel,6.3,4.4,5.7
Dating,8.5,5.4,9
Social,10,9.5,9.4
Productivity,9.7,7.7,6.6
Gen AI,6.7,6.3,6.6
RMG,7,5,5.9
Utilities,3.8,6.1,9.4
Digital Auto OEMs,9.4,8.7,4.2
Digital Auto marketplaces,7.2,5.9,2.5
