Vertical,Disintermediation,Data standardization,Regulatory shield,Overall score,Disruption value
Gaming,3,0,,1.5,Low
Retail & Ecommerce,6.5,6.5,9,7.3,High
Media & Streaming,5,0,,2.5,Low
Education,8,8,10,8.6,Very High
Health & Fitness,7,7,5,6.4,High
News,10,8,10,9.3,Very High
FinTech,8,5,0,4.6,Medium
Financial Services,5,3,0,2.8,Low
On-Demand,4,0,0,2,Very Low
Travel,7.5,7.5,9,8,High
Dating,3,0,,1.5,Very Low
Social,0,0,,0,Very Low
Productivity,7,7,9,7.6,High
Gen AI,0,0,0,0,N/A
RMG,3,0,0,1.1,Very Low
Auto OEMs,0,2,,1,Very Low
Auto marketplaces,7,7,9,7.6,High
